 55
  -7.19558   3.39266  -6.87322   2.31935  -6.52783   1.16139  -6.15942  -0.08198
  -5.75646  -1.45027  -5.22687  -3.25786  -4.73181  -4.95526  -4.08709  -7.17566
  -3.39631  -9.55986  -2.79764 -11.62367  -2.37166 -13.08367  -2.12989 -13.90577
  -1.92266 -14.60323  -1.73845 -15.21721  -1.58878 -15.70930  -1.43912 -16.19381
  -1.31247 -16.59703  -1.19734 -16.95666  -1.08221 -17.30882  -0.97860 -17.61853
  -0.88650 -17.88721  -0.79439 -18.14895  -0.70229 -18.40308  -0.62170 -18.61898
  -0.54111 -18.82850  -0.46052 -19.03123  -0.37993 -19.22704  -0.29934 -19.41570
  -0.21875 -19.59816  -0.14967 -19.74833  -0.08059 -19.89183  -0.01151 -20.02802
   0.08059 -20.19924   0.17269 -20.36326   0.26480 -20.52062   0.37993 -20.70943
   0.54111 -20.96775   0.65624 -21.14569   0.77137 -21.31602   0.89801 -21.49563
   1.03616 -21.68363   1.19734 -21.89458   1.35853 -22.09788   1.54273 -22.32253
   1.73845 -22.55334   1.96871 -22.81733   2.24502 -23.12494   2.55587 -23.46224
   2.92428 -23.85312   3.35026 -24.29665   3.90288 -24.86359   4.59366 -25.56386
   5.28443 -26.25943   7.35676 -28.33605  11.51293 -32.49289
 56
  -6.98835   6.25985  -6.61993   5.07954  -6.37816   4.29799  -6.25152   3.88400
  -5.99823   3.04430  -5.41108   1.08465  -5.08871   0.00237  -4.73181  -1.20718
  -4.24827  -2.85522  -3.55749  -5.21450  -2.86672  -7.57910  -2.47528  -8.91525
  -2.21048  -9.81223  -1.94568 -10.70149  -1.77299 -11.27470  -1.60944 -11.81029
  -1.46214 -12.28634  -1.33550 -12.68861  -1.22037 -13.04768  -1.10524 -13.39976
  -1.00162 -13.70959  -0.89801 -14.01189  -0.80590 -14.27362  -0.71380 -14.52830
  -0.62170 -14.77530  -0.54111 -14.98487  -0.46052 -15.18808  -0.37993 -15.38450
  -0.29934 -15.57420  -0.21875 -15.75718  -0.12664 -15.95701  -0.02303 -16.17334
   0.11513 -16.45301   0.23026 -16.67909   0.31085 -16.83060   0.39144 -16.97549
   0.46052 -17.09298   0.54111 -17.22330   0.62170 -17.34741   0.78288 -17.58387
   0.92103 -17.77945   1.05919 -17.96800   1.19734 -18.14951   1.35853 -18.35373
   1.54273 -18.57923   1.74996 -18.82453   1.98022 -19.08882   2.24502 -19.38433
   2.55587 -19.72213   2.88974 -20.07760   3.43085 -20.64148   4.07558 -21.30093
   4.76635 -22.00003   6.14790 -23.38796  10.29255 -27.53488  11.51293 -28.75526
 102
  -6.96532   8.07249  -6.87322   7.79170  -6.79263   7.54286  -6.67750   7.18726
  -6.65447   7.11528  -6.47026   6.53939  -6.45875   6.50298  -6.25152   5.84749
  -6.24001   5.81068  -6.02126   5.11114  -5.97521   4.96236  -5.77949   4.32997
  -5.73344   4.17977  -5.52620   3.50377  -5.52146   3.48829  -5.27292   2.67075
  -5.23838   2.55713  -4.99661   1.75537  -4.93904   1.56446  -4.62820   0.52610
  -4.59366   0.41072  -4.27130  -0.67313  -4.21373  -0.86670  -3.85683  -2.07336
  -3.73019  -2.50157  -3.25816  -4.10429  -2.63646  -6.21525  -2.60192  -6.33252
  -2.25653  -7.50063  -2.24502  -7.53922  -2.02627  -8.27230  -2.01476  -8.31046
  -1.83056  -8.92093  -1.81904  -8.95865  -1.63484  -9.56207  -1.49668 -10.00801
