 13
 *************************************************
 $Id: eii_kolbenstvedt.data,v 1.3 2011/04/13 14:08:17 mainegra Exp $
 *************************************************
 Electron Impact Ionization cross sections for K shell
 with binding energies above 1 keV in barn/atom.
 Energy range: binding energy ... 10 GeV
 Equidistant bins on a logarithmic grid.
 Kolbenstvedt's revised theory used to calculate the data.
 Equivalent to the KEK EGS4 EII data base.
 Format is: max. energy, number of points 
 For each element: Z, number of shells with U > 1 keV
 For each such shell: global cross section maximum
                N data points sigma/sigma_max
  10000. 250
 1 0
 2 0
 3 0
 4 0
 5 0
 6 0
 7 0
 8 0
 9 0
 10 0
 11 1
  28259.291
  0.25411  0.25550  0.25690  0.25829  0.25968  0.26107  0.26246  0.26385  0.26524  0.26663
  0.26803  0.26942  0.27081  0.27220  0.27359  0.27498  0.27637  0.27776  0.27916  0.28055
 13 1
  13950.2461
 -0.30306 -0.15336 -0.01105  0.12247  0.24630  0.35989  0.46301  0.55566  0.63803  0.71043
  0.77329  0.82710  0.87241  0.90980  0.93984  0.96312  0.98023  0.99172  0.99814  1.00000
  0.99780  0.99199  0.98301  0.97125  0.95709  0.94086  0.92288  0.90344  0.88279  0.86116
  0.83878  0.81583  0.79248  0.76888  0.74517  0.72147  0.69788  0.67448  0.65137  0.62861
  0.60625  0.58435  0.56294  0.54206  0.52173  0.50199  0.48283  0.46428  0.44634  0.42901
  0.41229  0.39619  0.38070  0.36580  0.35150  0.33778  0.32463  0.31204  0.29999  0.28847
  0.27747  0.26698  0.25697  0.24744  0.23836  0.22973  0.22153  0.21374  0.20635  0.19934
  0.19271  0.18643  0.18050  0.17489  0.16961  0.16463  0.15995  0.15555  0.15142  0.14756
  0.14394  0.14057  0.13743  0.13451  0.13181  0.12931  0.12701  0.12489  0.12296  0.12121
  0.11962  0.11819  0.11692  0.11579  0.11481  0.11396  0.11324  0.11265  0.11217  0.11181
  0.11156  0.11142  0.11137  0.11142  0.11156  0.11178  0.11209  0.11248  0.11293  0.11346
  0.11406  0.11472  0.11544  0.11621  0.11704  0.11791  0.11884  0.11980  0.12081  0.12186
  0.12295  0.12406  0.12521  0.12639  0.12760  0.12883  0.13009  0.13137  0.13267  0.13399
  0.13533  0.13668  0.13805  0.13944  0.14083  0.14224  0.14367  0.14510  0.14654  0.14799
  0.14945  0.15092  0.15239  0.15387  0.15536  0.15685  0.15835  0.15985  0.16136  0.16287
  0.16439  0.16591  0.16743  0.16896  0.17049  0.17202  0.17355  0.17509  0.17663  0.17817
  0.17971  0.18125  0.18280  0.18435  0.18590  0.18745  0.18900  0.19055  0.19210  0.19366
  0.19521  0.19677  0.19832  0.19988  0.20144  0.20300  0.20456  0.20611  0.20768  0.20924
  0.21080  0.21236  0.21392  0.21548  0.21705  0.21861  0.22017  0.22174  0.22330  0.22486
  0.22643  0.22799  0.22956  0.23112  0.23269  0.23425  0.23582  0.23738  0.23895  0.24051
  0.24208  0.24365  0.24521  0.24678  0.24834  0.24991  0.25148  0.25304  0.25461  0.25618
  0.25774  0.25931  0.26088  0.26244  0.26401  0.26558  0.26715  0.26871  0.27028  0.27185
  0.27341  0.27498  0.27655  0.27812  0.27968  0.28125  0.28282  0.28439  0.28595  0.28752
  0.28909  0.29066  0.29222  0.29379  0.29536  0.29693  0.29849  0.30006  0.30163  0.30320
  0.30476  0.30633  0.30790  0.30947  0.31103  0.31260  0.31417  0.31574  0.31730  0.31887
 14 1
  10186.4199
 -0.19895 -0.06189  0.06879  0.19171  0.30593  0.41087  0.50626  0.59203  0.66832  0.73538
  0.79358  0.84335  0.88518  0.91960  0.94712  0.96830  0.98367  0.99374  0.99902  1.00000
  0.99713  0.99084  0.98153  0.96959  0.95537  0.93917  0.92132  0.90206  0.88165  0.86032
  0.83826  0.81566  0.79268  0.76946  0.74614  0.72283  0.69963  0.67663  0.65391  0.63152
  0.60953  0.58798  0.56691  0.54637  0.52636  0.50692  0.48805  0.46978  0.45210  0.43503
  0.41855  0.40268  0.38740  0.37271  0.35860  0.34507  0.33209  0.31967  0.30778  0.29642
  0.28557  0.27521  0.26534  0.25594  0.24699  0.23848  0.23040  0.22272  0.21545  0.20856
  0.20203  0.19587  0.19004  0.18455  0.17938  0.17451  0.16994  0.16566  0.16164  0.15789
  0.15440  0.15114  0.14812  0.14533  0.14275  0.14038  0.13821  0.13623  0.13444  0.13282
  0.13138  0.13010  0.12897  0.12800  0.12716  0.12647  0.12591  0.12548  0.12517  0.12497
  0.12489  0.12491  0.12504  0.12526  0.12557  0.12597  0.12645  0.12701  0.12765  0.12836
  0.12913  0.12997  0.13087  0.13182  0.13283  0.13389  0.13499  0.13614  0.13734  0.13857
  0.13983  0.14113  0.14247  0.14383  0.14522  0.14663  0.14807  0.14954  0.15102  0.15252
  0.15404  0.15558  0.15713  0.15870  0.16028  0.16188  0.16348  0.16510  0.16672  0.16836
  0.17000  0.17165  0.17331  0.17498  0.17665  0.17832  0.18001  0.18169  0.18339  0.18508
