  1     13.6     0.0     0.0     0.0    0.0    0.0
  2     24.6     0.0     0.0     0.0    0.0    0.0
  3     58.0     5.4     0.0     0.0    0.0    0.0
  4    115.0     9.3     0.0     0.0    0.0    0.0
  5    192.0    11.4     0.0     0.0    0.0    0.0
  6    288.0    16.6     0.0     0.0    0.0    0.0
  7    403.0    20.3    14.5    14.0    0.0    0.0
  8    538.0    28.5    13.6    14.0    0.0    0.0
  9    694.0    37.9    17.4    17.0    0.0    0.0
 10    870.1    48.5    21.7    21.6    0.0    0.0
 11   1072.1    66.0    34.0    34.0    5.1    0.0
 12   1305.0    92.0    54.0    54.0    7.6    0.0
 13   1559.6   121.0    77.0    77.0    9.1    0.0
 14   1838.9   154.0   104.0   104.0   10.8    0.0
 15   2145.5   191.0   135.0   134.0   13.3    0.0
 16   2472.0   232.0   170.0   168.0   15.3    0.0
 17   2822.4   277.0   208.0   206.0   18.8    0.0
 18   3202.9   326.5   250.6   248.5   20.3    0.0
 19   3607.4   381.0   299.0   296.0   19.8    0.0
 20   4038.1   441.0   353.0   349.0   27.0    0.0
 21   4492.8   503.0   408.0   403.0   32.0    0.0
 22   4966.4   567.0   465.0   459.0   31.2    0.0
 23   5465.1   633.0   525.0   518.0   34.7    0.0
 24   5989.2   702.0   589.0   580.0   38.6    0.0
 25   6539.0   755.0   656.0   645.0   42.7    0.0
 26   7112.0   851.0   726.0   713.0   47.0    0.0
 27   7708.9   931.0   800.0   785.0   51.6    0.0
 28   8332.8  1008.1   877.0   860.0   57.0    7.6
 29   8978.9  1096.1   958.0   938.0   62.1    7.7
 30   9658.6  1193.6  1042.8  1019.7   69.8    9.4
 31  10367.1  1297.7  1142.3  1115.4   84.2    9.3
 32  11103.1  1414.3  1247.8  1216.7  100.8   11.1
 33  11866.7  1526.5  1358.6  1323.1  119.0   13.4
 34  12657.8  1653.9  1476.2  1435.8  138.8   14.9
 35  13473.7  1782.0  1596.0  1549.9  160.2   17.8
 36  14325.6  1921.0  1727.2  1674.9  183.6   18.7
 37  15199.7  2065.1  1863.9  1804.4  209.6   16.9
 38  16104.6  2216.3  2006.8  1939.6  238.6   22.7
 39  17038.4  2372.5  2155.5  2080.0  268.0   28.4
 40  17997.6  2531.6  2306.7  2222.3  297.8   32.9
 41  18985.6  2697.7  2464.7  2370.5  328.4   30.8
 42  19999.5  2865.5  2625.1  2520.2  359.4   40.8
 43  21044.0  3042.5  2793.2  2676.9  391.2   37.0
 44  22117.2  3224.0  2966.9  2837.9  424.4   39.9
 45  23219.9  3411.9  3146.1  3003.8  458.4   43.3
 46  24350.3  3604.3  3330.3  3173.3  493.6   46.0
 47  25514.0  3805.8  3523.7  3351.1  532.2   43.6
 48  26711.2  4018.0  3727.0  3537.5  574.8   49.5
 49  27939.9  4237.5  3938.0  3730.1  621.6   57.9
 50  29200.1  4464.7  4156.1  3928.8  670.8   58.9
 51  30491.2  4698.3  4380.4  4132.2  722.4   67.7
 52  31813.8  4939.2  4612.0  4341.4  776.0   77.0
 53  33169.4  5188.1  4852.1  4557.1  832.0   87.2
 54  34561.4  5452.8  5103.7  4782.2  891.4   98.5
 55  35984.6  5714.3  5359.4  5011.9  951.6  110.0
 56  37440.6  5988.8  5623.6  5247.0 1014.6  123.3
 57  38924.6  6266.3  5890.6  5482.7 1076.2  135.0
 58  40443.0  6548.8  6164.2  5723.4 1136.8  142.1
 59  41990.6  6834.8  6440.4  5964.3 1196.6  150.0
 60  43568.9  7126.0  6721.5  6207.9 1255.8  156.7
 61  45184.0  7427.9  7012.8  6459.3 1316.0  163.3
 62  46834.2  7736.8  7311.8  6716.2 1377.8  170.3
 63  48519.0  8052.0  7617.1  6976.9 1441.2  177.6
 64  50239.1  8375.6  7930.3  7242.8 1506.4  185.4
 65  51995.7  8708.0  8251.6  7514.0 1573.0  194.1
 66  53788.5  9045.8  8580.6  7790.1 1641.0  203.0
 67  55617.7  9394.2  8917.8  8071.1 1710.8  212.3
 68  57485.5  9751.3  9264.3  8357.9 1782.2  221.9
 69  59389.6 10115.7  9616.9  8648.0 1855.0  231.9
 70  61332.3 10486.4  9978.2  8943.6 1929.2  234.7
 71  63313.8 10870.4 10348.6  9244.1 2008.8  248.6
 72  65350.8 11270.7 10739.4  9560.7 2094.2  265.6
 73  67416.4 11681.5 11136.1  9881.1 2182.8  283.0
 74  69525.0 12099.8 11544.0 10206.8 2273.6  300.7
 75  71676.4 12526.7 11958.7 10535.3 2366.8  319.3
 76  73870.8 12968.0 12385.0 10870.9 2462.2  338.4
 77  76111.0 13418.5 12824.1 11215.4 2560.8  359.1
 78  78394.8 13879.9 13272.6 11563.7 2662.2  381.0
 79  80724.9 14352.8 13733.6 11918.7 2767.2  404.4
 80  83102.3 14839.3 14208.7 12283.9 2878.4  431.9
 81  85530.4 15346.7 14697.9 12657.5 2995.0  463.6
 82  88004.5 15860.8 15200.0 13035.2 3114.2  495.9
 83  90525.9 16387.5 15711.1 13418.6 3236.0  528.7
 84  93105.0 16939.3 16244.3 13813.8 3360.6  562.4
 85  95729.9 17493.0 16784.7 14213.5 3488.6  597.1
 86  98404.0 18049.0 17337.1 14619.4 3601.2  632.4
 87 101137.0 18639.0 17906.5 15031.2 3754.8  671.1
 88 103922.0 19236.7 18484.3 15444.4 3895.2  713.1
 89 106756.0 19840.0 19083.2 15871.0 4036.8  754.0
 90 109651.0 20472.1 19693.2 16300.3 4179.2  793.6
 91 112601.0 21104.6 20313.7 16733.1 4322.6  832.0
 92 115606.0 21757.4 20947.6 17166.3 4467.6  869.1
