  0.001  35.48133892  183
  8.63644  7.82474  7.09797  6.44856  5.86696  5.34556  4.87857  4.46038
  4.08585  3.75007  3.44981  3.18110  2.94072  2.72601  2.53430  2.36334
  2.21089  2.07509  1.95432  1.84685  1.75142  1.66674  1.59161  1.52505
  1.46616  1.41410  1.36809  1.32746  1.29162  1.25995  1.23190  1.20713
  1.18509  1.16548  1.14811  1.13256  1.11870  1.10631  1.09520  1.08524
  1.07626  1.06825  1.06105  1.05455  1.04883  1.04362  1.03901  1.03486
  1.03114  1.02785  1.02488  1.02222  1.01983  1.01774  1.01581  1.01414
  1.01262  1.01128  1.01005  1.00900  1.00807  1.00719  1.00643  1.00577
  1.00512  1.00458  1.00408  1.00371  1.00329  1.00292  1.00263  1.00239
  1.00212  1.00189  1.00171  1.00157  1.00138  1.00123  1.00112  1.00095
  1.00090  1.00081  1.00072  1.00066  1.00064  1.00052  1.00047  1.00041
  1.00043  1.00034  1.00031  1.00027  1.00026  1.00022  1.00022  1.00019
  1.00016  1.00018  1.00012  1.00013  1.00008  1.00011  1.00008  1.00010
  1.00010  1.00011  1.00009  1.00006  1.00011  1.00007  1.00006  1.00008
  1.00004  1.00006  1.00007  1.00002  1.00004  0.99998  0.99999  0.99999
  0.99998  1.00006  1.00003  1.00010  1.00004  1.00011  1.00005  1.00007
  1.00007  1.00007  1.00000  1.00004  1.00001  1.00001  1.00005  1.00004
  1.00004  1.00004  1.00013  1.00007  1.00004  1.00004  1.00005  1.00007
  1.00004  1.00008  1.00006  1.00004  0.99991  1.00008  1.00000  1.00002
  0.99998  1.00005  0.99998  1.00009  1.00005  1.00004  1.00006  0.99998
  0.99998  0.99985  0.99998  0.99999  1.00007  1.00002  0.99995  1.00002
  0.99999  0.99997  0.99999  1.00004  0.99999  0.99995  0.99993  0.99999
  0.99998  1.00001  1.00003  0.99997  1.00002  1.00002  1.00002
 14.87281 13.42726 12.13810 10.98438  9.94788  9.02193  8.19278  7.44858
  6.78087  6.18122  5.64325  5.16037  4.72674  4.33712  3.98687  3.67260
  3.39033  3.13681  2.90920  2.70493  2.52174  2.35751  2.21041  2.07859
  1.96055  1.85486  1.76060  1.67633  1.60112  1.53415  1.47450  1.42154
  1.37451  1.33286  1.29596  1.26331  1.23442  1.20891  1.18636  1.16633
  1.14853  1.13278  1.11870  1.10624  1.09504  1.08501  1.07613  1.06798
  1.06082  1.05442  1.04867  1.04348  1.03892  1.03475  1.03100  1.02773
  1.02479  1.02214  1.01973  1.01763  1.01576  1.01408  1.01258  1.01119
  1.01001  1.00895  1.00801  1.00713  1.00637  1.00570  1.00510  1.00456
  1.00405  1.00363  1.00321  1.00292  1.00264  1.00233  1.00209  1.00189
  1.00165  1.00149  1.00134  1.00125  1.00107  1.00097  1.00086  1.00075
  1.00070  1.00065  1.00057  1.00051  1.00047  1.00040  1.00040  1.00033
  1.00029  1.00025  1.00026  1.00022  1.00024  1.00016  1.00018  1.00015
  1.00018  1.00014  1.00012  1.00010  1.00012  1.00012  1.00008  1.00008
  1.00011  1.00012  1.00005  1.00008  1.00002  1.00001  1.00005  1.00002
  1.00003  1.00011  1.00007  1.00012  1.00013  1.00012  1.00010  1.00007
  1.00008  1.00007  1.00008  1.00008  1.00006  1.00001  1.00016  1.00007
  1.00009  1.00006  1.00003  1.00004  1.00006  1.00011  1.00006  1.00004
  1.00002  1.00005  1.00004  1.00001  0.99998  1.00004  1.00003  1.00008
  0.99997  1.00006  1.00002  1.00007  0.99998  1.00003  1.00004  1.00002
  1.00003  0.99985  0.99999  0.99999  1.00008  1.00002  0.99995  1.00003
  1.00001  0.99997  0.99998  1.00006  0.99994  0.99996  0.99997  0.99995
  1.00000  0.99999  1.00006  0.99997  1.00006  0.99997  0.99997
  3.64520  3.42424  3.24128  3.09100  2.97059  2.87391  2.79696  2.73621
  2.68679  2.64661  2.61126  2.57852  2.54689  2.51395  2.47892  2.44017
  2.39766  2.35120  2.30080  2.24670  2.18929  2.12987  2.06861  2.00620
  1.94354  1.88139  1.82025  1.76054  1.70272  1.64715  1.59418  1.54401
  1.49662  1.45212  1.41060  1.37202  1.33638  1.30357  1.27346  1.24600
  1.22104  1.19834  1.17788  1.15947  1.14291  1.12804  1.11477  1.10289
  1.09234  1.08277  1.07425  1.06657  1.05978  1.05363  1.04805  1.04307
  1.03858  1.03455  1.03089  1.02769  1.02480  1.02218  1.01982  1.01773
  1.01585  1.01417  1.01269  1.01131  1.01009  1.00903  1.00808  1.00724
  1.00646  1.00575  1.00519  1.00458  1.00410  1.00371  1.00325  1.00294
  1.00264  1.00236  1.00212  1.00189  1.00168  1.00154  1.00135  1.00123
  1.00109  1.00100  1.00087  1.00079  1.00071  1.00061  1.00056  1.00053
  1.00049  1.00041  1.00038  1.00032  1.00032  1.00029  1.00025  1.00023
  1.00023  1.00019  1.00019  1.00014  1.00015  1.00013  1.00016  1.00015
  1.00015  1.00007  1.00012  1.00009  1.00003  1.00009  1.00007  1.00006
  1.00002  1.00010  1.00013  1.00011  1.00012  1.00013  1.00014  1.00011
  1.00012  1.00005  1.00010  1.00010  1.00009  1.00007  1.00012  1.00000
  1.00006  0.99998  1.00015  1.00007  1.00008  1.00008  1.00003  0.99995
  1.00014  1.00004  1.00008  1.00003  1.00001  1.00001  1.00001  1.00007
  1.00005  1.00004  0.99999  1.00004  1.00002  1.00009  0.99999  1.00004
  1.00002  0.99986  1.00000  1.00002  1.00003  1.00004  0.99994  1.00003
  1.00003  0.99997  0.99997  1.00001  0.99995  0.99995  0.99999  0.99999
  1.00000  1.00004  0.99997  1.00001  1.00002  1.00002  0.99997
  5.62386  5.10997  4.65209  4.24642  3.88855  3.57356  3.29845  3.05969
  2.85419  2.67848  2.53044  2.40652  2.30309  2.21795  2.14786  2.09015
  2.04225  2.00204  1.96764  1.93740  1.90963  1.88339  1.85724  1.83072
  1.80345  1.77481  1.74500  1.71388  1.68142  1.64801  1.61376  1.57895
  1.54419  1.50959  1.47527  1.44176  1.40912  1.37754  1.34745  1.31876
  1.29151  1.26587  1.24186  1.21952  1.19886  1.17967  1.16220  1.14625
