Z is atomic number

shell is: = 1 for K
          = 2 for L1 (2s+)
          = 3 for L2 (2p-)
          = 4 for L3 (2p+)
          = 5 for M
          = 6 for N
          = 7 for all other

N is occupation number

Jo is the Compton profile parameter

I is the binding energy in eV

   Z shell N     Jo            I
------------------------------------
  31   5   2   1.76E-01      107
  31   5   4   1.76E-01      103
  31   5   4   1.46E-01       18
  31   5   6   1.46E-01       18
  31   6   2   1.18E+00        6
  31   6   1   9.15E-01        6
  32   1   2   2.72E-02    11104
  32   2   2   1.01E-01     1413
  32   3   2   5.09E-02     1249
  32   4   4   5.09E-02     1217
  32   5   2   2.71E-01      181
  32   5   2   1.67E-01      129
  32   5   4   1.67E-01      122
  32   5   4   1.33E-01       29
  32   5   6   1.33E-01       29
  32   6   2   1.03E+00        8
  32   6   2   7.69E-01        8
  33   1   2   2.63E-02    11867
  33   2   2   9.71E-02     1527
  33   3   2   4.91E-02     1359
  33   4   4   4.91E-02     1323
  33   5   2   2.58E-01      204
  33   5   2   1.58E-01      147
  33   5   4   1.58E-01      141
  33   5   4   1.23E-01       42
  33   5   6   1.23E-01       42
  33   6   2   9.22E-01       10
  33   6   2   6.74E-01       10
  33   6   1   6.74E-01       10
  34   1   2   2.55E-02    12658
  34   2   2   9.39E-02     1654
  34   3   2   4.75E-02     1476
  34   4   4   4.75E-02     1436
  34   5   2   2.47E-01      231
  34   5   2   1.51E-01      167
  34   5   4   1.51E-01      162
  34   5   4   1.14E-01       56
  34   5   6   1.14E-01       56
  34   6   2   8.39E-01       10
  34   6   2   6.04E-01       10
  34   6   2   6.04E-01       10
  35   1   2   2.48E-02    13474
  35   2   2   9.09E-02     1782
  35   3   2   4.59E-02     1596
  35   4   4   4.59E-02     1550
  35   5   2   2.36E-01      257
  35   5   2   1.44E-01      189
  35   5   4   1.44E-01      182
  35   5   4   1.07E-01       70
  35   5   6   1.07E-01       69
  35   6   2   7.72E-01       27
  35   6   2   5.49E-01       12
  35   6   3   5.49E-01       12
  36   1   2   2.34E-02    14326
  36   2   2   8.62E-02     1925
  36   3   2   4.33E-02     1731
  36   4   4   4.43E-02     1678
  36   5   2   2.22E-01      293
  36   5   2   1.34E-01      222
  36   5   4   1.37E-01      214
  36   5   4   1.01E-01       95
  36   5   6   1.01E-01       94
  36   6   2   7.05E-01       27
  36   6   2   4.96E-01       14
  36   6   4   5.08E-01       14
  37   1   2   2.27E-02    15200
  37   2   2   8.35E-02     2065
  37   3   2   4.19E-02     1865
  37   4   4   4.29E-02     1805
  37   5   2   2.13E-01      321
  37   5   2   1.29E-01      248
  37   5   4   1.31E-01      239
  37   5   4   9.50E-02      112
  37   5   6   9.57E-02      111
  37   6   2   6.31E-01       29
  37   6   2   4.33E-01       14
  37   6   4   4.43E-01       14
  37   6   1   2.56E+00        4
  38   1   2   2.21E-02    16105
  38   2   2   8.09E-02     2216
  38   3   2   4.06E-02     2007
  38   4   4   4.16E-02     1940
  38   5   2   2.04E-01      358
  38   5   2   1.23E-01      280
  38   5   4   1.25E-01      269
  38   5   4   9.01E-02      135
  38   5   6   9.07E-02      133
  38   6   2   5.73E-01       38
  38   6   2   3.89E-01       20
  38   6   4   3.97E-01       20
  38   6   2   2.06E+00        6
  39   1   2   2.15E-02    17039
  39   2   2   7.85E-02     2373
  39   3   2   3.94E-02     2155
  39   4   4   4.04E-02     2080
  39   5   2   1.96E-01      395
  39   5   2   1.18E-01      313
  39   5   4   1.20E-01      301
  39   5   4   8.56E-02      160
  39   5   6   8.63E-02      158
  39   6   2   5.33E-01       46
  39   6   2   3.61E-01       26
  39   6   4   3.66E-01       26
  39   6   3   1.42E+00        6
  40   1   2   2.09E-02    18000
  40   2   2   7.62E-02     2534
  40   3   2   3.82E-02     2309
  40   4   4   3.92E-02     2225
  40   5   2   1.89E-01      433
  40   5   2   1.14E-01      347
  40   5   4   1.16E-01      333
  40   5   4   8.16E-02      185
  40   5   6   8.23E-02      182
  40   6   2   5.01E-01       54
  40   6   2   3.39E-01       31
  40   6   4   3.42E-01       31
  40   6   4   1.10E+00        7
  41   1   2   2.03E-02    18983
  41   2   2   7.41E-02     2695
  41   3   2   3.71E-02     2462
  41   4   4   3.81E-02     2368
  41   5   2   1.82E-01      466
  41   5   2   1.09E-01      376
  41   5   4   1.12E-01      360
  41   5   4   7.79E-02      205
  41   5   6   7.87E-02      202
  41   6   2   4.80E-01       55
  41   6   2   3.24E-01       31
  41   6   4   3.26E-01       31
  41   6   4   3.85E-01        7
  41   6   1   1.88E+00        7
  42   1   2   1.98E-02    20000
  42   2   2   7.20E-02     2866
  42   3   2   3.60E-02     2625
  42   4   4   3.71E-02     2520
  42   5   2   1.76E-01      505
  42   5   2   1.05E-01      410
  42   5   4   1.08E-01      393
  42   5   4   7.47E-02      230
  42   5   6   7.54E-02      226
  42   6   2   4.56E-01       62
  42   6   2   3.06E-01       35
  42   6   4   3.09E-01       35
  42   6   4   3.47E-01        7
  42   6   2   1.09E+00        7
  43   1   2   1.93E-02    21044
  43   2   2   7.00E-02     3042
  43   3   2   3.50E-02     2793
  43   4   4   3.61E-02     2677
  43   5   2   1.70E-01      544
  43   5   2   1.02E-01      445
  43   5   4   1.04E-01      425
  43   5   4   7.17E-02      257
  43   5   6   7.24E-02      253
  43   6   2   4.30E-01       68
  43   6   2   2.87E-01       39
  43   6   4   2.91E-01       39
  43   6   4   2.99E-01        7
  43   6   3   1.18E+00        7
  44   1   2   1.88E-02    22117
  44   2   2   6.82E-02     3224
  44   3   2   3.41E-02     2967
  44   4   4   3.52E-02     2838
  44   5   2   1.64E-01      585
  44   5   2   9.82E-02      483
  44   5   4   1.01E-01      461
  44   5   4   6.90E-02      284
  44   5   6   6.97E-02      279
  44   6   2   4.16E-01       75
  44   6   2   2.76E-01       43
  44   6   4   2.81E-01       43
  44   6   4   2.96E-01        7
  44   6   4   6.62E-01        7
  45   1   2   1.84E-02    23220
  45   2   2   6.64E-02     3412
  45   3   2   3.32E-02     3146
  45   4   4   3.43E-02     3004
  45   5   2   1.59E-01      627
  45   5   2   9.49E-02      521
  45   5   4   9.73E-02      496
  45   5   4   6.65E-02      312
  45   5   6   6.71E-02      307
  45   6   2   3.99E-01       81
  45   6   2   2.63E-01       48
  45   6   4   2.70E-01       48
  45   6   4   2.77E-01        7
  45   6   5   5.66E-01        7
  46   1   2   1.79E-02    24350
  46   2   2   6.47E-02     3605
  46   3   2   3.23E-02     3331
  46   4   4   3.35E-02     3174
  46   5   2   1.54E-01      670
  46   5   2   9.19E-02      559
  46   5   4   9.43E-02      531
  46   5   4   6.42E-02      340
  46   5   6   6.47E-02      335
  46   6   2   3.86E-01       86
  46   6   2   2.54E-01       51
  46   6   4   2.61E-01       51
  46   6   4   2.78E-01        8
  46   6   6   2.85E-01        8
  47   1   2   1.75E-02    25514
  47   2   2   6.31E-02     3806
  47   3   2   3.15E-02     3524
  47   4   4   3.27E-02     3352
  47   5   2   1.49E-01      717
  47   5   2   8.91E-02      602
  47   5   4   9.15E-02      573
  47   5   4   6.20E-02      374
  47   5   6   6.25E-02      368
  47   6   2   3.69E-01       95
  47   6   2   2.42E-01       59
  47   6   4   2.49E-01       59
  47   6   4   2.47E-01        8
  47   6   6   2.51E-01        8
  47   7   1   1.64E+00        8
  48   1   2   1.71E-02    26711
  48   2   2   6.15E-02     4018
  48   3   2   3.07E-02     3727
  48   4   4   3.19E-02     3538
  48   5   2   1.45E-01      770
