12
************************************************************************
 $Id: eii_ik.data,v 1.3 2011/04/12 22:17:51 mainegra Exp $
************************************************************************
Electron Impact Ionization cross sections for K, LI, LII and LIII shells
with binding energies above 1 keV in barn/atom.
Energy range: binding energy ... 10 GeV
Equidistant bins on a logarithmic grid.
The Kawrakow theory has been used to calculate the data.
Format is: max. energy, number of points 
For each element: Z, number of shells with U > 1 keV
For each such shell: global cross section maximum
                     N data points sigma/sigma_max
 0.25247 0.24271 0.23342 0.22458 0.21616 0.20817 0.20058 0.19337 0.18654 0.18007
 0.17395 0.16816 0.16268 0.15752 0.15265 0.14806 0.14374 0.13968 0.13588 0.13231
 0.12898 0.12586 0.12296 0.12026 0.11776 0.11544 0.11330 0.11133 0.10953 0.10788
 0.10639 0.10504 0.10383 0.10275 0.10180 0.10097 0.10026 0.09966 0.09917 0.09877
 0.09848 0.09827 0.09816 0.09813 0.09818 0.09831 0.09850 0.09877 0.09910 0.09949
 0.09995 0.10045 0.10101 0.10162 0.10227 0.10297 0.10371 0.10448 0.10529 0.10614
 0.10702 0.10792 0.10886 0.10982 0.11080 0.11180 0.11283 0.11388 0.11494 0.11602
 0.11711 0.11822 0.11935 0.12048 0.12163 0.12278 0.12395 0.12512 0.12631 0.12750
 0.12870 0.12990 0.13111 0.13233 0.13355 0.13478 0.13601 0.13725 0.13849 0.13973
 0.14098 0.14222 0.14348 0.14473 0.14599 0.14725 0.14851 0.14977 0.15104 0.15230
 0.15357 0.15484 0.15611 0.15738 0.15866 0.15993 0.16121 0.16248 0.16376 0.16504
 0.16632 0.16759 0.16887 0.17015 0.17144 0.17272 0.17400 0.17528 0.17656 0.17785
 0.17913 0.18042 0.18170 0.18298 0.18427 0.18555 0.18684 0.18813 0.18941 0.19070
 0.19198 0.19327 0.19456 0.19584 0.19713 0.19842 0.19970 0.20099 0.20228 0.20357
 0.20485 0.20614 0.20743 0.20872 0.21000 0.21129 0.21258 0.21387 0.21516 0.21644
 0.21773 0.21902 0.22031 0.22160 0.22289 0.22417 0.22546 0.22675 0.22804 0.22933
 0.23062 0.23191 0.23320 0.23448 0.23577 0.23706 0.23835 0.23964 0.24093 0.24222
 0.24351 0.24479 0.24608 0.24737 0.24866 0.24995 0.25124 0.25253 0.25382 0.25510
 0.25639 0.25768 0.25897 0.26026 0.26155 0.26284 0.26413 0.26542 0.26671 0.26799
 14 1
   11003.14    
 0.04548 0.12248 0.21185 0.30524 0.39790 0.48682 0.57004 0.64635 0.71505 0.77582
 0.82859 0.87351 0.91083 0.94093 0.96425 0.98128 0.99255 0.99862 1.00000 0.99718
 0.99065 0.98089 0.96832 0.95333 0.93629 0.91754 0.89737 0.87607 0.85387 0.83099
 0.80763 0.78395 0.76011 0.73623 0.71243 0.68881 0.66546 0.64244 0.61982 0.59764
 0.57596 0.55480 0.53420 0.51417 0.49473 0.47589 0.45767 0.44006 0.42306 0.40668
 0.39091 0.37574 0.36116 0.34717 0.33375 0.32089 0.30858 0.29681 0.28556 0.27482
 0.26457 0.25479 0.24548 0.23662 0.22819 0.22019 0.21258 0.20537 0.19853 0.19205
 0.18593 0.18014 0.17467 0.16951 0.16466 0.16009 0.15580 0.15177 0.14800 0.14448
 0.14119 0.13813 0.13528 0.13265 0.13021 0.12796 0.12591 0.12402 0.12231 0.12076
 0.11937 0.11813 0.11703 0.11607 0.11524 0.11454 0.11396 0.11349 0.11313 0.11288
 0.11274 0.11268 0.11272 0.11285 0.11306 0.11335 0.11371 0.11414 0.11465 0.11521
 0.11584 0.11652 0.11726 0.11804 0.11888 0.11976 0.12068 0.12164 0.12264 0.12367
 0.12473 0.12583 0.12695 0.12810 0.12927 0.13047 0.13169 0.13292 0.13418 0.13545
 0.13674 0.13804 0.13936 0.14069 0.14203 0.14338 0.14475 0.14612 0.14750 0.14888
 0.15028 0.15168 0.15309 0.15451 0.15593 0.15735 0.15878 0.16021 0.16165 0.16309
 0.16454 0.16599 0.16744 0.16889 0.17035 0.17181 0.17327 0.17473 0.17619 0.17766
 0.17913 0.18060 0.18207 0.18354 0.18502 0.18649 0.18797 0.18944 0.19092 0.19240
 0.19388 0.19536 0.19684 0.19832 0.19980 0.20129 0.20277 0.20425 0.20574 0.20722
 0.20871 0.21019 0.21168 0.21316 0.21465 0.21614 0.21762 0.21911 0.22060 0.22208
 0.22357 0.22506 0.22655 0.22804 0.22952 0.23101 0.23250 0.23399 0.23548 0.23697
 0.23846 0.23995 0.24144 0.24293 0.24442 0.24591 0.24739 0.24888 0.25037 0.25186
 0.25335 0.25484 0.25633 0.25782 0.25931 0.26080 0.26230 0.26379 0.26528 0.26677
 0.26826 0.26975 0.27124 0.27273 0.27422 0.27571 0.27720 0.27869 0.28018 0.28167
 0.28316 0.28465 0.28614 0.28763 0.28912 0.29061 0.29210 0.29360 0.29509 0.29658
 0.29807 0.29956 0.30105 0.30254 0.30403 0.30552 0.30701 0.30850 0.30999 0.31148
 15 1
   8058.659    
 0.04529 0.12156 0.21009 0.30268 0.39464 0.48298 0.56578 0.64182 0.71041 0.77120
 0.82414 0.86935 0.90709 0.93767 0.96155 0.97921 0.99115 0.99791 1.00000 0.99790
 0.99210 0.98304 0.97117 0.95687 0.94049 0.92237 0.90281 0.88209 0.86043 0.83807
 0.81519 0.79196 0.76854 0.74506 0.72162 0.69834 0.67529 0.65255 0.63019 0.60824
 0.58677 0.56580 0.54537 0.52549 0.50619 0.48747 0.46935 0.45183 0.43491 0.41860
 0.40289 0.38776 0.37323 0.35927 0.34588 0.33305 0.32076 0.30900 0.29777 0.28703
 0.27679 0.26703 0.25772 0.24887 0.24045 0.23245 0.22486 0.21766 0.21084 0.20439
 0.19828 0.19252 0.18709 0.18197 0.17715 0.17263 0.16838 0.16441 0.16070 0.15724
 0.15402 0.15103 0.14827 0.14572 0.14337 0.14122 0.13927 0.13749 0.13589 0.13446
 0.13319 0.13208 0.13111 0.13029 0.12960 0.12904 0.12861 0.12830 0.12810 0.12802
 0.12803 0.12815 0.12836 0.12866 0.12905 0.12952 0.13006 0.13068 0.13137 0.13212
 0.13294 0.13381 0.13474 0.13573 0.13676 0.13783 0.13895 0.14011 0.14131 0.14255
 0.14381 0.14511 0.14644 0.14779 0.14917 0.15057 0.15199 0.15344 0.15490 0.15638
 0.15788 0.15939 0.16092 0.16246 0.16401 0.16557 0.16714 0.16872 0.17031 0.17191
 0.17352 0.17513 0.17676 0.17838 0.18001 0.18165 0.18329 0.18494 0.18659 0.18825
 0.18991 0.19157 0.19323 0.19490 0.19657 0.19824 0.19992 0.20159 0.20327 0.20496
 0.20664 0.20832 0.21001 0.21170 0.21338 0.21507 0.21677 0.21846 0.22015 0.22184
 0.22354 0.22523 0.22693 0.22863 0.23032 0.23202 0.23372 0.23542 0.23712 0.23882
 0.24052 0.24222 0.24392 0.24563 0.24733 0.24903 0.25073 0.25244 0.25414 0.25584
 0.25755 0.25925 0.26096 0.26266 0.26436 0.26607 0.26777 0.26948 0.27118 0.27289
 0.27459 0.27630 0.27800 0.27971 0.28142 0.28312 0.28483 0.28653 0.28824 0.28995
 0.29165 0.29336 0.29506 0.29677 0.29848 0.30018 0.30189 0.30360 0.30530 0.30701
 0.30872 0.31042 0.31213 0.31384 0.31554 0.31725 0.31896 0.32066 0.32237 0.32408
 0.32578 0.32749 0.32920 0.33091 0.33261 0.33432 0.33603 0.33773 0.33944 0.34115
 0.34285 0.34456 0.34627 0.34798 0.34968 0.35139 0.35310 0.35480 0.35651 0.35822
 16 1
   5946.120    
 0.04461 0.12000 0.20757 0.29934 0.39067 0.47853 0.56101 0.63688 0.70545 0.76635
 0.81951 0.86506 0.90323 0.93433 0.95879 0.97708 0.98971 0.99718 1.00000 0.99864
 0.99357 0.98525 0.97410 0.96049 0.94479 0.92732 0.90839 0.88825 0.86716 0.84532
 0.82294 0.80018 0.77719 0.75410 0.73104 0.70810 0.68537 0.66292 0.64082 0.61912
