0.00E+00 0.5871E+00
0.10E-01 0.5871E+00
0.20E-01 0.5871E+00
0.30E-01 0.5871E+00
0.40E-01 0.5871E+00
0.50E-01 0.5871E+00
0.60E-01 0.5871E+00
0.70E-01 0.5871E+00
0.80E-01 0.5871E+00
0.90E-01 0.5871E+00
0.10E+00 0.9711E+00
0.11E+00 0.1173E+01
0.12E+00 0.1328E+01
0.13E+00 0.1481E+01
0.14E+00 0.1656E+01
0.15E+00 0.1799E+01
0.16E+00 0.1831E+01
0.17E+00 0.1775E+01
0.18E+00 0.1707E+01
0.19E+00 0.1630E+01
0.20E+00 0.1564E+01
0.22E+00 0.1515E+01
0.24E+00 0.1404E+01
0.25E+00 0.1294E+01
0.26E+00 0.1153E+01
0.28E+00 0.9529E+00
0.30E+00 0.8805E+00
0.32E+00 0.8580E+00
0.34E+00 0.8657E+00
0.35E+00 0.8642E+00
0.36E+00 0.8474E+00
0.38E+00 0.8094E+00
0.40E+00 0.7735E+00
0.42E+00 0.7243E+00
0.44E+00 0.6850E+00
0.45E+00 0.6471E+00
0.46E+00 0.6304E+00
0.48E+00 0.5945E+00
0.50E+00 0.5751E+00
0.55E+00 0.5532E+00
0.60E+00 0.5217E+00
0.65E+00 0.4806E+00
0.70E+00 0.4702E+00
0.80E+00 0.4330E+00
0.90E+00 0.3863E+00
0.10E+01 0.3275E+00
0.11E+01 0.3064E+00
0.12E+01 0.2861E+00
0.13E+01 0.2665E+00
0.14E+01 0.2476E+00
0.15E+01 0.2295E+00
0.16E+01 0.2123E+00
0.17E+01 0.1958E+00
0.18E+01 0.1804E+00
0.19E+01 0.1661E+00
0.20E+01 0.1529E+00
0.22E+01 0.1290E+00
0.24E+01 0.1091E+00
0.25E+01 0.1003E+00
0.26E+01 0.9232E-01
0.28E+01 0.7838E-01
0.30E+01 0.6678E-01
0.33E+01 0.5292E-01
0.35E+01 0.4557E-01
0.36E+01 0.4236E-01
0.39E+01 0.3427E-01
0.40E+01 0.3202E-01
0.42E+01 0.2803E-01
0.46E+01 0.2176E-01
0.50E+01 0.1715E-01
0.54E+01 0.1371E-01
0.55E+01 0.1299E-01
0.58E+01 0.1110E-01
0.60E+01 0.1003E-01
0.62E+01 0.9092E-02
0.66E+01 0.7519E-02
0.70E+01 0.6276E-02
0.74E+01 0.5280E-02
0.80E+01 0.4128E-02
0.90E+01 0.2825E-02
0.10E+02 0.1996E-02
0.11E+02 0.1447E-02
0.12E+02 0.1073E-02
0.14E+02 0.6245E-03
0.16E+02 0.3864E-03
0.18E+02 0.2512E-03
0.20E+02 0.1701E-03
0.22E+02 0.1191E-03
0.25E+02 0.7358E-04
0.28E+02 0.4786E-04
0.31E+02 0.3246E-04
0.35E+02 0.2040E-04
0.40E+02 0.1223E-04
0.45E+02 0.7774E-05
0.50E+02 0.5186E-05
0.70E+02 0.1426E-05
0.10E+03 0.3668E-06
0.10E+04 0.1034E-09
0.10E+07 0.8282E-19
0.10E+10 0.9385E-28
