 0.00E+00  0.9220E+00
 0.10E-01  0.9220E+00
 0.20E-01  0.9367E+00
 0.30E-01  0.1018E+01
 0.40E-01  0.1188E+01
 0.50E-01  0.1486E+01
 0.60E-01  0.1861E+01
 0.70E-01  0.2340E+01
 0.80E-01  0.2419E+01
 0.90E-01  0.2173E+01
 0.10E+00  0.1902E+01
 0.11E+00  0.1633E+01
 0.12E+00  0.1430E+01
 0.13E+00  0.1287E+01
 0.14E+00  0.1256E+01
 0.15E+00  0.1314E+01
 0.16E+00  0.1389E+01
 0.17E+00  0.1414E+01
 0.18E+00  0.1352E+01
 0.19E+00  0.1263E+01
 0.20E+00  0.1146E+01
 0.22E+00  0.1105E+01
 0.24E+00  0.1084E+01
 0.25E+00  0.9855E+00
 0.26E+00  0.8875E+00
 0.28E+00  0.7845E+00
 0.30E+00  0.7317E+00
 0.32E+00  0.6827E+00
 0.34E+00  0.6389E+00
 0.35E+00  0.6291E+00
 0.36E+00  0.6128E+00
 0.38E+00  0.6042E+00
 0.40E+00  0.5959E+00
 0.42E+00  0.5978E+00
 0.44E+00  0.6190E+00
 0.45E+00  0.6137E+00
 0.46E+00  0.6016E+00
 0.48E+00  0.5492E+00
 0.50E+00  0.5056E+00
 0.55E+00  0.4645E+00
 0.60E+00  0.4549E+00
 0.65E+00  0.4707E+00
 0.70E+00  0.4492E+00
 0.80E+00  0.4119E+00
 0.90E+00  0.3534E+00
 0.10E+01  0.3160E+00
 0.11E+01  0.2912E+00
 0.12E+01  0.2674E+00
 0.13E+01  0.2448E+00
 0.14E+01  0.2234E+00
 0.15E+01  0.2038E+00
 0.16E+01  0.1855E+00
 0.17E+01  0.1686E+00
 0.18E+01  0.1532E+00
 0.19E+01  0.1393E+00
 0.20E+01  0.1266E+00
 0.22E+01  0.1046E+00
 0.24E+01  0.8671E-01
 0.25E+01  0.7904E-01
 0.26E+01  0.7211E-01
 0.28E+01  0.6021E-01
 0.30E+01  0.5049E-01
 0.33E+01  0.3909E-01
 0.35E+01  0.3313E-01
 0.36E+01  0.3055E-01
 0.39E+01  0.2415E-01
 0.40E+01  0.2239E-01
 0.42E+01  0.1929E-01
 0.46E+01  0.1449E-01
 0.50E+01  0.1105E-01
 0.54E+01  0.8550E-02
 0.55E+01  0.8034E-02
 0.58E+01  0.6698E-02
 0.60E+01  0.5956E-02
 0.62E+01  0.5311E-02
 0.66E+01  0.4260E-02
 0.70E+01  0.3452E-02
 0.74E+01  0.2823E-02
 0.80E+01  0.2123E-02
 0.90E+01  0.1371E-02
 0.10E+02  0.9227E-03
 0.11E+02  0.6425E-03
 0.12E+02  0.4604E-03
 0.14E+02  0.2540E-03
 0.16E+02  0.1512E-03
 0.18E+02  0.9546E-04
 0.20E+02  0.6318E-04
 0.22E+02  0.4346E-04
 0.25E+02  0.2629E-04
 0.28E+02  0.1682E-04
 0.31E+02  0.1126E-04
 0.35E+02  0.6980E-05
 0.40E+02  0.4124E-05
 0.45E+02  0.2592E-05
 0.50E+02  0.1712E-05
 0.70E+02  0.4561E-06
 0.10E+03  0.1130E-06
 0.10E+04  0.2127E-10
 0.10E+07  0.1126E-19
 0.10E+10  0.1151E-28
